state,location_type,Paxlovid Availability Rate,Lagevrio Availability Rate,Veklury Availability Rate
NJ,Urban,0.4213075060532688,0.33171912832929784,0.0012106537530266344
NM,Rural,0.2857142857142857,0.22402597402597402,0.006493506493506494
NM,Urban,0.3939393939393939,0.36363636363636365,0.0
NV,Rural,0.20774647887323944,0.19014084507042253,0.0
NV,Urban,0.4713114754098361,0.45491803278688525,0.0
NY,Rural,0.18148710166919574,0.12473444613050076,0.0
NY,Urban,0.3440695296523517,0.23517382413087934,0.0005112474437627812
OH,Rural,0.2928334124347413,0.19031798766018035,0.00047460844803037496
OH,Urban,0.41007194244604317,0.2637889688249401,0.0
OK,Rural,0.2577433628318584,0.1570796460176991,0.004424778761061947
OK,Urban,0.47619047619047616,0.25170068027210885,0.0
OR,Rural,0.18356643356643357,0.11713286713286714,0.0
OR,Urban,0.4357142857142857,0.2642857142857143,0.007142857142857143
PA,Rural,0.33587786259541985,0.2366412213740458,0.0
PA,Urban,0.4691151919866444,0.2904841402337229,0.0
PR,Rural,0.1181702668360864,0.060991105463786534,0.0
PR,Urban,0.24725274725274726,0.10989010989010989,0.0
RI,Rural,0.41134751773049644,0.36879432624113473,0.0
RI,Urban,0.6235294117647059,0.4823529411764706,0.0
SC,Rural,0.3097560975609756,0.24146341463414633,0.0
SC,Urban,0.5,0.3888888888888889,0.0
SD,Rural,0.15736040609137056,0.116751269035533,0.0
SD,Urban,0.1111111111111111,0.3333333333333333,0.0
TN,Rural,0.22952779438135087,0.17573221757322174,0.0
TN,Urban,0.391304347826087,0.30434782608695654,0.0
TX,Rural,0.27539663746152027,0.22188017996684822,0.00023679848448969926
TX,Urban,0.4917043740573152,0.3690296631473102,0.0005027652086475615
UT,Rural,0.1623931623931624,0.06837606837606838,0.0
UT,Urban,0.425,0.24166666666666667,0.0
VA,Rural,0.32742735648476257,0.2430900070871722,0.0007087172218284905
VA,Urban,0.5396145610278372,0.4068522483940043,0.0
VI,Rural,0.0,0.0,0.0
VT,Rural,0.3188405797101449,0.21739130434782608,0.0
VT,Urban,0.25,0.125,0.0
WA,Rural,0.18805309734513273,0.13938053097345132,0.0
WA,Urban,0.39841688654353563,0.25857519788918204,0.0
WI,Rural,0.22028985507246376,0.16618357487922705,0.0
WI,Urban,0.3315508021390374,0.36363636363636365,0.0
WV,Rural,0.2270363951473137,0.17850953206239167,0.0
WV,Urban,0.38461538461538464,0.3076923076923077,0.0
WY,Rural,0.19548872180451127,0.14285714285714285,0.0
